Суд в Кисловодске должен рассмотреть сегодня административное дело бойца смешанных единоборств Александра Емельяненко,Спортсмена уже доставили в здание городского суда…
Полиция задерживает собравшихся у здания МГУ на сход в поддержку аспиранта мехмата Азата Мифтахова,"По данным проекта «ОВД-Инфо», в полицейских автобусах уже находятся не менее четырех человек…"
"В Генштабе считают, что США вынашивают планы по подрыву российской государственности с использованием оппозиции","Об этом начальник Генштаба Валерий Герасимов заявил сегодня на конференции, посвященной развитию военной стратегии…"
Прошедший февраль стал в Москве одним из самых темных за 20 лет наблюдений,Солнце светило в столице за весь месяц только 43 часа…
Жителя Грозного будут судить за появление в центре города с флагом со свастикой,В прокуратуре Чечни назвали такое правонарушение нетипичным…
Власти США отменили визы 49 представителям режима венесуэльского президента Николаса Мадуро и членам их семей,В этот список попали крупные чины армии Боливарианской республики и госбезопасности…
Администрация президента Алжира собирается объявить в ближайшее время о неких важных решениях,Об этом сообщает арабский телеканал «Аль-Арабия» со ссылкой на источники в руководстве страны…
Генштаб РФ обвиняет Пентагон в попытке использовать протестный потенциал для дестабилизации обстановки в стране,"По словам начальника Генерального штаба Валерия Герасимова, эту стратегию называют «Троянским конём»..."
Похороны нобелевского лауреата по физике Жореса Алферова пройдут во вторник на Комаровском кладбище под Петербургом,Чуть ранее в тот же день в научном центре РАН в Северной столице состоится прощание с академиком…
'Зенит' выиграл первый матч весенней части чемпионата,В гостях питерцы были сильнее екатеринбургского «Урала»...
У здания МГУ собрались студенты и сотрудники университета в поддержку арестованного аспиранта Азата Мифтахова,В середине февраля Азата Мифтахова арестовали по делу о событиях годовой давности…
Московский митинг против применения антигололедных реагентов собрал сегодня около сотни участников,"Участники акции, организаторами которой выступили движение «Моссовет» и «Левый фронт», вышли на площадь у памятника ополченцам около метро Автозаводская…"
"МВД опровергло слухи о наказании сотрудников, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко",Полицейские действовали в рамках законодательства и после этого им никто не угрожал…
Частный космический корабль Crew Dragon успешно пристыковался к МКС в автоматическом режиме,Запуск Crew Dragon состоялся 2 марта с космодрома во Флориде…
Питерские коммунисты рекомендовали кинорежиссера Владимира Бортко для выдвижения на пост губернатора Петербурга,Об этом ТАСС сообщила руководитель фракции КПРФ в городском Заксобрании Ольга Ходунова…
Против Уильяма Браудера в России действительно возбуждено дело об убийстве российского бизнесмена Перепиличного,Это подтвердил адвокат основателя фонда Hermitage Capital Александр Антипов…
The Mail on Sunday: Посол России в Лондоне Александр Яковенко был агентом советских спецслужб,"Официальный представитель российского МИДа Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
Расследование британских СМИ в отношении посла Яковенко не выдерживает критики – МИД,Об этом сообщила в эфире радиостанции «Эхо Москвы» официальный представитель МИД РФ Мария Захарова…
Международный совет футбольных ассоциаций принял ряд изменений в правила игры,Большинство из них призваны сократить количество пауз во время матча…
