url,title,descr
,Сын отравленной близ Солсбери англичанки обратился к Путину с просьбой выдать подозреваемых в убийстве матери,"Сын погибшей женщины жалуется, что не получает поддержки от британских властей, но стремится к справедливости в расследовании гибели матери…"
,В Петербурге самолет при посадке выкатился за пределы полосы,Полиция проводит проверку…
,Столичным водителям посоветовали пересесть на общественный транспорт из-за снегопада в Москве,"Чиновники предупреждают, что осадки сохранятся в течение дня…"
,Несколько тысяч человек вышли на антипрезидентский марш в Черногории,Акция прошла в Подгорице…
,Основателю британского фонда Эрмитедж Кэпитал Уильяму Браудеру предъявили обвинения в убийстве российского бизнесмена,Он назвал обвинения абсурдными…
,"Сын жительницы Великобритании, погибшей в результате отравления 'Новичком', написал письмо Владимиру Путину","Эван Хоуп сообщил, что надеется добиться справедливости с помощью российского президента…"
,Принадлежащая Би-би-си радиостанция Radio 2 байкотирует песни Майкла Джексона из-за новых обвинений в педофилии,Композиции певца «тихо исчезли» из эфира перед выходом документального фильма «Покидая Неверленд» о сексуальном насилии в отношении детей…
,В Гданьске сегодня пройдут выборы главы города,Досрочное голосование было объявлено после трагической смерти в середине января мэра этого города Павла Адамовича…
,В московском Зюзине пройдет митинг за сохранение роддома №10,"Это единственный центр планирования семьи на несколько районов, но власти хотят его закрыть…"
,Основателю британского фонда Hermitage Capital Уильяму Браудеру в России предъявлено новое обвинение,На этот раз в убийстве российского бизнесмена Александра Перепеличного в 2012 году….
,Путин встретится сегодня с российскими спортсменами и познакомится с инфраструктурой Всемирной зимней универсиады,"Также он посетит одно из соревнований, сообщает пресс-служба Кремля…"
,США и Южная Корея договорились прекратить две серии регулярных военных учений,Об этом сообщил Пентагон…
,Около 60 человек собрались накануне на народный сход у главного здания МГУ,"Они пришли поддержать аспиранта Азата Мифтахова, арестованного по делу о поджоге офиса «Единой России»..."
,Знакомый бывшего министра финансов ДНР Александра Тимофеева опроверг его задержание,"Ранее портал DonDay сообщил, что экс-министра самопровозглашенной республики задержали в Ростове-на-Дону и доставили в Москву…"
,В Эстонии сегодня пройдут парламентские выборы,В выборах участвует 10 партий…
,Глава российского МИДа Сергей Лавров сегодня отправится в ближневосточное турне,"Он проведет переговоры в Катаре, Саудовской Аравии, Кувейте и Объединенных Арабских Эмиратах…"
,"Сын британки Дон Стерджес, скончавшейся в прошлом году после отравления в Эймсбери, написал письмо Владимиру Путину",Он просит российского президента передать британским спецслужбам двух подозреваемых по данному делу…
,Митинги против мусорной реформы пройдут в нескольких регионах России,"В частности, запланированы акции в городах Свердловской области…"
,Зимняя универсиада стартовала в Красноярске,"Это значительное мероприятие, и стоит многого ожидать от российской команды, — сказал «Эху» спортивный обозреватель издания «Аргументы и факты» Александр Боярский…"
,Шестнадцатая волна протестов 'Желтых жилетов' во Франции впервые с их начала собрала менее 40 тысяч участников,Такие сведения сообщили в министерстве внутренних дел страны…
,В Эстонии пройдут парламентские выборы. Избирательные участки будут открыты с 9 до 20 часов,Предварительные итоги ожидаются через несколько часов после их закрытия…
,"На аукционе во Франции сегодня с молотка продадут фотографии Юрия Гагарина, сделанные за три дня до его гибели","Снимки, автограф и перьевая ручка первого в мире космонавта выставлены на торги аукционного дома Cazo…"
,В Пскове пройдет митинг против строительства химзавода в районе Моглино,"Акция называется «За чистоту окружающей среды, свободу слова и достойную жизнь»..."
,В городе Златоусте Челябинской области прошел митинг против строительства кремниевого завода,Предприятие станет катастрофой для экологии региона…
,Около 60 человек собрались накануне на народный сход у главного здания МГУ,"Они пришли поддержать аспиранта Азата Мифтахова, арестованного по делу о поджоге офиса «Единой России»..."
,Глава бразильской корпорации Vale Фабио Шварцман ушел во временную отставку после прорыва дамбы,"Жертвами аварии стали более 180 человек, еще свыше 120 числятся пропавшими без вести…"
,Суд Кисловодска арестовал 10 суток Александра Емельяненко за неповиновение полиции,"Бойца смешанных единоборств задержали 1 марта, когда он неправильно припарковался, а затем попытался скрыться от сотрудников ДПС и эвакуатора…"
,Сегодня в австрийском Зеефельде завершается чемпионат мира по лыжным видам спорта,В этот день состоится одна из самых интересных гонок – мужской марафон…
,В Сахаровском центре в Москве сегодня состоится благотворительный вечер,Пожертвования будут собирать для помощи политзаключенным…
,Основателю британского фонда Hermitage Capital Уильяму Браудеру в России предъявлено новое обвинение,На этот раз в убийстве российского бизнесмена Александра Перепеличного в 2012 году…
,Накануне около метро Автозаводская около сотни человек протестовали против применения реагентов,Организаторами акции выступили движение «Моссовет» и «Левый фронт»...
